Title,Price,Mileage,Dealer,Location,Rating,Link,Year,Make,Model,PriceCluster,PriceClass
2015 Jeep Grand Cherokee Limited,14950.0,88064.0,Al Piemonte Buick GMC,"Elmhurst, IL (17 mi.)",4.5,https://www.cars.com/vehicledetail/49fb635f-1686-4366-a381-1e18b3822254/?attribution_type=premier,2015,Jeep Grand,Cherokee Limited,0,Cheap
2022 Alfa Romeo Stelvio Ti,29186.0,32210.0,Sherman Dodge Chrysler Jeep RAM,"Skokie, IL",4.3,https://www.cars.com/vehicledetail/15b5dc80-5374-48a7-9e0d-a197d3350232/?attribution_type=isa,2022,Alfa Romeo,Stelvio Ti,1,Midrange
2022 Hyundai SANTA FE XRT,22899.0,32608.0,McGrath City Honda,"Chicago, IL (9 mi.)",4.4,https://www.cars.com/vehicledetail/fbe017fe-43df-4708-8d98-9471dbb7bbc4/,2022,Hyundai,SANTA FE XRT,1,Midrange
2019 Mazda CX-5 Signature,22995.0,61081.0,McGrath Acura of Morton Grove,"Morton Grove, IL (15 mi.)",4.5,https://www.cars.com/vehicledetail/9b245247-f2d2-411b-a642-7aba8610426a/,2019,Mazda,CX-5 Signature,1,Midrange
2020 RAM 1500 Laramie,30198.0,74971.0,Zeigler Buick GMC of Lincolnwood,"Lincolnwood, IL (10 mi.)",4.5,https://www.cars.com/vehicledetail/550c4d09-7dee-4aeb-9da2-8a3142f67b1c/,2020,RAM 1500,Laramie,1,Midrange
2023 Jeep Grand Cherokee Limited,36699.0,19353.0,BMW of Orland Park,"Orland Park, IL (24 mi.)",4.6,https://www.cars.com/vehicledetail/967e8d50-27e4-480b-85f2-2318c9463529/,2023,Jeep Grand,Cherokee Limited,1,Midrange
2023 Nissan Rogue SV,23483.0,28886.0,Tasca Chevrolet Wheeling,"Wheeling, IL (24 mi.)",4.8,https://www.cars.com/vehicledetail/947f7bcb-95b2-4861-9973-e23b3af6791c/,2023,Nissan,Rogue SV,1,Midrange
2023 Dodge Charger SXT,21895.0,54176.0,Jidd Motors Mitsubishi,"Des Plaines, IL (18 mi.)",4.7,https://www.cars.com/vehicledetail/525615bd-06d7-40a4-9427-94bd5e2b49ba/,2023,Dodge Charger,SXT,1,Midrange
2020 Volkswagen Atlas 2.0T SE,20847.0,58971.0,Napleton River Oaks Hyundai Kia,"Calumet City, IL (20 mi.)",4.7,https://www.cars.com/vehicledetail/6b50c7d4-1525-419f-90a7-dcf241ca0305/,2020,Volkswagen,Atlas 2.0T SE,1,Midrange
2022 Chrysler Pacifica Touring L,20788.0,70219.0,Napleton Downtown Chevrolet Buick GMC,"Chicago, IL (3 mi.)",4.4,https://www.cars.com/vehicledetail/d2c2df6d-0041-463d-b927-10183dee2793/,2022,Chrysler,Pacifica Touring L,1,Midrange
2024 Subaru Forester Limited,34495.0,13394.0,Berman Nissan of Chicago,"Chicago, IL (6 mi.)",4.5,https://www.cars.com/vehicledetail/995374fc-c5d7-433c-89c3-88e1dbbe695e/,2024,Subaru,Forester Limited,1,Midrange
2024 Volkswagen Tiguan 2.0T SE,24595.0,39007.0,Jidd Motors Mitsubishi,"Des Plaines, IL (18 mi.)",4.7,https://www.cars.com/vehicledetail/be56fb88-74b2-4442-9dd3-699204aa93dc/,2024,Volkswagen,Tiguan 2.0T SE,1,Midrange
2023 Nissan Rogue SV,23750.0,21964.0,Woody Buick GMC Naperville,"Naperville, IL (30 mi.)",4.9,https://www.cars.com/vehicledetail/38e40115-f18a-4b28-9f05-d2afe5e13571/,2023,Nissan,Rogue SV,1,Midrange
2024 Nissan Rogue SL,30995.0,8625.0,INFINITI of Naperville,"Naperville, IL (30 mi.)",4.9,https://www.cars.com/vehicledetail/e9b7f447-a9b8-4d90-8ed0-45f43bec68e0/,2024,Nissan,Rogue SL,1,Midrange
2025 Audi Q7 45 Premium Plus,56880.0,7952.0,Audi Hoffman Estates,"Hoffman Estates, IL (27 mi.)",4.6,https://www.cars.com/vehicledetail/8ed4f51a-cf89-4dc2-8416-cc5debd58560/,2025,Audi,Q7 45 Premium Plus,2,Luxury
2023 Subaru Forester Touring,32432.0,35710.0,The Autobarn Countryside Subaru,"Countryside, IL (14 mi.)",4.7,https://www.cars.com/vehicledetail/3d250681-36ba-4871-8e97-51140f01ea16/,2023,Subaru,Forester Touring,1,Midrange
2023 Audi Q5 45 S line Prestige,42880.0,23684.0,Audi Hoffman Estates,"Hoffman Estates, IL (27 mi.)",4.6,https://www.cars.com/vehicledetail/3af947db-96bc-4489-808c-5286e4373988/,2023,Audi,Q5 45 S line Prestige,2,Luxury
2021 Jeep Grand Cherokee Overland,28800.0,67552.0,Napleton's River Oaks Chrysler Jeep Dodge RAM,"Lansing, IL (22 mi.)",4.6,https://www.cars.com/vehicledetail/540d0ece-d1dc-4c90-ae0f-f142290e8a5e/,2021,Jeep Grand,Cherokee Overland,1,Midrange
2018 Acura MDX 3.5L,22000.0,68036.0,Ed Napleton Honda,"Oak Lawn, IL (13 mi.)",4.9,https://www.cars.com/vehicledetail/22e6ca6b-2927-4b83-83b9-29875b9fba8c/,2018,Acura,MDX 3.5L,1,Midrange
2023 Alfa Romeo Stelvio Veloce AWD,38995.0,15837.0,Westfield Ford,"Countryside, IL (14 mi.)",4.3,https://www.cars.com/vehicledetail/5084da26-431e-44a1-b517-69cb97c62ce6/,2023,Alfa Romeo,Stelvio Veloce AWD,2,Luxury
2025 Acura MDX A-SPEC Advance Package,61706.0,3619.0,McGrath Acura of Westmont,"Westmont, IL (18 mi.)",4.8,https://www.cars.com/vehicledetail/72fa27a0-246c-4659-95a3-6617b82e2e44/,2025,Acura,MDX A-SPEC Advance Package,2,Luxury
2021 Ford F-150 Lariat,41888.0,35200.0,Old Orchard Nissan,"Skokie, IL (14 mi.)",4.5,https://www.cars.com/vehicledetail/bfc78b40-afb8-4eb8-a671-7e455c8b2ebc/,2021,Ford,F-150 Lariat,2,Luxury
2020 BMW X2 xDrive28i,18800.0,88326.0,Al Piemonte Buick GMC,"Elmhurst, IL (17 mi.)",4.5,https://www.cars.com/vehicledetail/51f1241b-acc3-49f8-9bd8-ac3fbffc0c28/?attribution_type=premier,2020,BMW,X2 xDrive28i,1,Midrange
2020 Tesla Model 3 Long Range,24997.0,35176.0,Jaguar Land Rover Hinsdale,"Hinsdale, IL",4.7,https://www.cars.com/vehicledetail/7a8ae4d8-f67a-4f0d-8339-38d42bdec1c0/?attribution_type=isa,2020,Tesla Model,3 Long Range,1,Midrange
2022 Audi Q7 45 Premium,27900.0,87411.0,Ed Napleton Honda,"Oak Lawn, IL (13 mi.)",4.9,https://www.cars.com/vehicledetail/f7c025d7-afe4-41ec-89ae-63d037f45c19/,2022,Audi,Q7 45 Premium,1,Midrange
2023 Acura RDX A-Spec Advance Package,43262.0,13035.0,McGrath Acura of Westmont,"Westmont, IL (18 mi.)",4.8,https://www.cars.com/vehicledetail/e23eab40-eb1b-40c3-b59a-68cb8d2bfd4d/,2023,Acura,RDX A-Spec Advance Package,2,Luxury
2022 Ford F-150 XLT,45750.0,10216.0,Fair Oaks Ford,"Naperville, IL (30 mi.)",4.8,https://www.cars.com/vehicledetail/ba84ef28-b0ed-4b47-8067-3c06c5869bf3/,2022,Ford,F-150 XLT,2,Luxury
2024 Alfa Romeo Stelvio Ti,38700.0,8725.0,Zeigler Chrysler Dodge Jeep Ram of Schaumburg,"Schaumburg, IL (26 mi.)",4.4,https://www.cars.com/vehicledetail/1a9ae6a2-a201-4a6f-98e2-c04bd26a088f/,2024,Alfa Romeo,Stelvio Ti,2,Luxury
2024 Honda Accord EX 1.5T,26999.0,5776.0,McGrath City Honda,"Chicago, IL (9 mi.)",4.4,https://www.cars.com/vehicledetail/d49505f5-5e1d-4cea-90f6-664037f156fd/,2024,Honda,Accord EX 1.5T,1,Midrange
2022 Nissan Rogue S,22295.0,32075.0,Berman Nissan of Chicago,"Chicago, IL (6 mi.)",4.5,https://www.cars.com/vehicledetail/8b72e3cf-42b5-408d-ad28-f08b4929fd78/,2022,Nissan,Rogue S,1,Midrange
2019 Alfa Romeo Giulia Ti,22359.0,26695.0,Phillips Chevrolet of Lansing,"Lansing, IL (22 mi.)",5.0,https://www.cars.com/vehicledetail/506946d6-c973-4a14-a74e-93a5cb78a59a/,2019,Alfa Romeo,Giulia Ti,1,Midrange
2023 Nissan Rogue SL,23520.0,54634.0,Sherman Dodge Chrysler Jeep RAM,"Skokie, IL (12 mi.)",4.3,https://www.cars.com/vehicledetail/de5037e1-a2c2-4103-9340-577ce56ed23d/,2023,Nissan,Rogue SL,1,Midrange
2024 Volkswagen Tiguan 2.0T SE 4MOTION,29500.0,4059.0,Volkswagen of Downtown Chicago,"Chicago, IL (2 mi.)",4.5,https://www.cars.com/vehicledetail/f729d621-0875-4745-8b7a-7048672f1089/,2024,Volkswagen,Tiguan 2.0T SE 4MOTION,1,Midrange
2022 Hyundai SANTA FE Calligraphy,31757.0,18429.0,Volkswagen of Orland Park,"Orland Park, IL (22 mi.)",4.1,https://www.cars.com/vehicledetail/1bfb256f-e9c6-439e-83e4-ee4a8f5102a8/,2022,Hyundai,SANTA FE Calligraphy,1,Midrange
2023 Chrysler Pacifica Limited,27881.0,67817.0,South Oak Dodge Chrysler Jeep RAM,"Matteson, IL (27 mi.)",4.8,https://www.cars.com/vehicledetail/24d1e112-4a23-4d55-a845-d667997854dd/,2023,Chrysler,Pacifica Limited,1,Midrange
2022 Lincoln Aviator Reserve AWD,46000.0,30540.0,Zeigler Chevrolet,"Schaumburg, IL (25 mi.)",4.4,https://www.cars.com/vehicledetail/29f2eb80-2f44-41c0-8c60-c729732af851/,2022,Lincoln,Aviator Reserve AWD,2,Luxury
2024 Subaru Outback Touring XT,34957.0,33667.0,Grand Subaru,"Bensenville, IL (17 mi.)",4.9,https://www.cars.com/vehicledetail/d8130f9b-5eaf-418e-9cbd-cd5ec2d74cd1/,2024,Subaru,Outback Touring XT,1,Midrange
2023 Chevrolet Silverado 1500 RST,42950.0,63232.0,Rizza Cadillac Buick GMC,"Tinley Park, IL (22 mi.)",4.5,https://www.cars.com/vehicledetail/daf3f3ca-4de5-44cf-9272-83a7f959afaf/,2023,Chevrolet,Silverado 1500 RST,2,Luxury
2023 Hyundai SANTA FE SEL 2.4,24420.0,47872.0,Jack Phelan Chrysler Dodge Jeep RAM,"Countryside, IL (14 mi.)",4.8,https://www.cars.com/vehicledetail/0d5ff2d5-7b5f-4e68-9d90-5f7d989a74a2/,2023,Hyundai,SANTA FE SEL 2.4,1,Midrange
2021 BMW X5 xDrive40i,37298.0,62071.0,The Autobarn Volvo Cars of Oak Park,"Oak Park, IL (9 mi.)",4.8,https://www.cars.com/vehicledetail/af822377-002b-4b95-a402-13e7c9293195/,2021,BMW,X5 xDrive40i,1,Midrange
2024 BMW X5 xDrive40i,46295.0,43957.0,Jidd Motors Mitsubishi,"Des Plaines, IL (18 mi.)",4.7,https://www.cars.com/vehicledetail/f9c7de92-aff2-4da0-8911-dd2d72b31848/,2024,BMW,X5 xDrive40i,2,Luxury
2018 Chrysler Pacifica Touring Plus,16494.0,85031.0,Thomas Kia of Highland,"Highland, IN (26 mi.)",4.4,https://www.cars.com/vehicledetail/b0fe065a-f477-477f-a1a8-29b5613a03a0/,2018,Chrysler,Pacifica Touring Plus,0,Cheap
2022 Chrysler Pacifica Touring L,22891.0,58084.0,Bill Kay Chevrolet,"Lisle, IL (23 mi.)",4.6,https://www.cars.com/vehicledetail/34b8cb3e-8935-4ae5-aae4-03cc6d267905/,2022,Chrysler,Pacifica Touring L,1,Midrange
