name,score,price,url,battery_size,max_dc_charge,miles_per_kwh,range
Smart #5 Review,7,50000,https://www.electrifying.com/reviews/smart-car-reviews/5/,84,400,3.5,366
Jeep Compass Review,6,45000,https://www.electrifying.com/reviews/jeep-reviews/compass/,85,160,4.4,404
Renault 4 E-Tech Electric Review,8,27000,https://www.electrifying.com/reviews/renault-4/,52,100,4.8,247
Citroen e-C5 Aircross Review,7,40000,https://www.electrifying.com/reviews/citroen-reviews/e-c5-aircross/,85,160,4.4,422
Abarth 600e Review,8,36975,https://www.electrifying.com/reviews/abarth/600e/,51,151,4.0,208
Range Rover Electric Review,8,140000,https://www.electrifying.com/reviews/land-rover-reviews/range-rover-electric/,117,350,4.1,310
Ford Puma Gen-E Review,8,29995,https://www.electrifying.com/reviews/ford-reviews/puma-gen-e/,43,100,5.0,233
New 2025 Tesla Model Y Review,9,44990,https://www.electrifying.com/reviews/tesla-reviews/model-y-2025/,75,250,4.6,387
Ford e-Transit Courier Review,8,34490,https://www.electrifying.com/reviews/ford-reviews/e-transit-courier/,43,100,4.1,186
Kia PV5 Review,9,30000,https://www.electrifying.com/reviews/kia-reviews/pv5/,57,150,4.1,250
Skoda Enyaq 2025 Review,9,39000,https://www.electrifying.com/reviews/skoda-reviews/new-enyaq/,68,175,4.6,365
MGS5 EV Review,8,28495,https://www.electrifying.com/reviews/mg-reviews/mgs5-ev/,56,139,4.5,298
Volvo ES90 Review,9,70000,https://www.electrifying.com/reviews/volvo-reviews/es90/,95,350,4.4,437
Maserati Grecale Folgore Review,7,99165,https://www.electrifying.com/reviews/maserati/grecale-folgore/,97,150,4.1,310
Mercedes CLA Review,9,45000,https://www.electrifying.com/reviews/mercedes-reviews/cla/,71,320,4.1,465
New Kia EV4 review,8,32000,https://www.electrifying.com/reviews/kia-reviews/ev4/,69,118,4.1,391
Citroen e-Relay Review,7,49485,https://www.electrifying.com/reviews/citroen-reviews/e-relay/,110,150,4.1,261
Mercedes-Benz eVito Review,7,48530,https://www.electrifying.com/reviews/mercedes-reviews/evito/,66,80,4.1,162
Volkswagen Transporter Review,8,42800,https://www.electrifying.com/reviews/volkswagen-reviews/transporter/,65,125,4.1,201
BYD Atto 2 Review,8,30000,https://www.electrifying.com/reviews/byd/atto-2//,50,65,4.1,260
Zeekr 7X Review,8,44090,https://www.electrifying.com/reviews/zeekr/7x/,87,360,4.1,382
Mercedes-Benz eSprinter Review,8,58740,https://www.electrifying.com/reviews/mercedes-reviews/esprinter-1/,97,115,4.1,271
Kia EV3 Review,10,32995,https://www.electrifying.com/reviews/kia-reviews/ev3/,66,151,4.1,375
Mazda 6e Review,7,42000,https://www.electrifying.com/reviews/mazda-reviews/6e/,74,200,4.5,345
DS No 8 Review,8,60000,https://www.electrifying.com/reviews/ds-reviews/no-8/,85,160,3.9,469
Skoda Elroq Review,9,31500,https://www.electrifying.com/reviews/skoda-reviews/elroq/,73,175,4.1,360
Audi S e-tron GT Review 2025,9,108680,https://www.electrifying.com/reviews/audi/e-tron-gt/,97,320,4.1,356
Hyundai IONIQ 9 Review,8,65000,https://www.electrifying.com/reviews/hyundai-reviews/ioniq-9/,110,210,3.5,385
BYD Sealion 7 Review,7,46990,https://www.electrifying.com/reviews/byd/sealion-7/,87,190,4.1,312
Alpine A290 Review,9,33500,https://www.electrifying.com/reviews/alpine/a290/,52,100,4.1,236
Suzuki e Vitara Review,6,29000,https://www.electrifying.com/reviews/suzuki/e-vitara/,55,150,4.1,249
MINI Aceman Review,8,31800,https://www.electrifying.com/reviews/mini-reviews/aceman/,73,95,4.4,252
Citroen e-Dispatch Review,8,41210,https://www.electrifying.com/reviews/citroen-reviews/e-dispatch/,75,100,4.1,217
Citroen e-C4 Review 2025,8,26295,https://www.electrifying.com/reviews/citroen-reviews/citroen-e-c4/,52,100,4.8,261
Vauxhall Grandland Review,6,37435,https://www.electrifying.com/reviews/vauxhall/grandland/,85,151,4.1,325
Leapmotor C10 Review,6,36500,https://www.electrifying.com/reviews/leapmotor/c10/,69,84,4.1,261
Renault 5 E-Tech Review,9,22995,https://www.electrifying.com/reviews/renault-reviews/r5-e-tech/,46,100,4.8,255
Leapmotor T03 Review,8,15995,https://www.electrifying.com/reviews/leapmotor/t03/,37,45,4.1,165
Audi Q6 e-tron Review,7,59975,https://www.electrifying.com/reviews/audi-reviews/q6-e-tron-2/,94,270,3.9,392
B-On Pelkan Review,6,30000,https://www.electrifying.com/reviews/b-on/Pelkan/,48,100,4.1,173
Kia EV6 Review,9,45575,https://www.electrifying.com/reviews/kia/ev6/,84,260,4.2,361
Volkswagen ID.7 Tourer Review,8,52240,https://www.electrifying.com/reviews/volkswagen-reviews/id-7-tourer/,81,187,4.1,424
